stock_code,prediction
605366.SH,0.43592095375061035
600398.SH,0.43589144945144653
000333.SZ,0.43588370084762573
002591.SZ,0.43584954738616943
600319.SH,0.4358186721801758
688020.SH,0.43569961190223694
301291.SZ,0.4355751574039459
688530.SH,0.43535950779914856
300469.SZ,0.4353324770927429
301233.SZ,0.43516355752944946
301419.SZ,0.43513962626457214
300037.SZ,0.43506795167922974
002961.SZ,0.434930682182312
300022.SZ,0.4349015951156616
688617.SH,0.434887170791626
600962.SH,0.43480685353279114
688611.SH,0.4347227215766907
603800.SH,0.43459922075271606
601398.SH,0.43457290530204773
601001.SH,0.43453049659729004
688260.SH,0.4340408146381378
600323.SH,0.43379154801368713
300582.SZ,0.43378737568855286
600333.SH,0.4337800145149231
000678.SZ,0.43349936604499817
300333.SZ,0.43341943621635437
601665.SH,0.43340277671813965
300556.SZ,0.43333950638771057
688573.SH,0.43331223726272583
603165.SH,0.43323561549186707
000799.SZ,0.43317916989326477
300474.SZ,0.4330926537513733
600203.SH,0.4330589473247528
688550.SH,0.43300700187683105
300786.SZ,0.4329985976219177
002290.SZ,0.43289661407470703
002986.SZ,0.43280306458473206
605389.SH,0.4327899217605591
603120.SH,0.4327312707901001
002158.SZ,0.432668000459671
688079.SH,0.4326452910900116
688120.SH,0.4326240122318268
301024.SZ,0.43258756399154663
002948.SZ,0.43249067664146423
300723.SZ,0.43232887983322144
300528.SZ,0.4321604073047638
003033.SZ,0.43200281262397766
002940.SZ,0.43192219734191895
603255.SH,0.4319121539592743
002755.SZ,0.4318917691707611
600468.SH,0.4317834973335266
688313.SH,0.4317799210548401
688150.SH,0.43161675333976746
600636.SH,0.4315054416656494
300255.SZ,0.4314887821674347
600326.SH,0.431417316198349
300082.SZ,0.43141382932662964
300053.SZ,0.43127086758613586
300626.SZ,0.43126180768013
301013.SZ,0.43105247616767883
300943.SZ,0.4309585392475128
601963.SH,0.43084999918937683
300393.SZ,0.4305945932865143
688312.SH,0.4305902123451233
300935.SZ,0.4305840730667114
600060.SH,0.43056267499923706
603083.SH,0.4305405020713806
603811.SH,0.43040820956230164
002648.SZ,0.4302869737148285
002017.SZ,0.4302566945552826
601702.SH,0.43010151386260986
301638.SZ,0.42997515201568604
603296.SH,0.4299376606941223
603399.SH,0.4297848641872406
002774.SZ,0.4297845661640167
300572.SZ,0.42977091670036316
603158.SH,0.4297672510147095
300961.SZ,0.42973676323890686
000951.SZ,0.42970603704452515
603991.SH,0.42956751585006714
301292.SZ,0.42947301268577576
603351.SH,0.4294337034225464
000552.SZ,0.4293051064014435
001207.SZ,0.42927685379981995
300357.SZ,0.429169237613678
300424.SZ,0.4291207492351532
002688.SZ,0.4290541410446167
600460.SH,0.4290395975112915
688386.SH,0.42903465032577515
300981.SZ,0.4290190637111664
601988.SH,0.428973525762558
603936.SH,0.4289369285106659
688252.SH,0.4289340376853943
301152.SZ,0.4287375211715698
002446.SZ,0.42860808968544006
688139.SH,0.4285435974597931
